0311	Khai thác hải sản	Khai thác thủy sản	Giấy phép khai thác thuỷ sản
0312	Khai thác thủy sản nội địa	Khai thác thủy sản	Giấy phép khai thác thuỷ sản
0321	Nuôi trồng hải sản	Kinh doanh thủy sản	
0322	Nuôi trồng thủy sản nội địa	Kinh doanh thủy sản	
0130	Trồng cây lương thực, thực phẩm khác	Xuất khẩu gạo	Giấy chứng nhận đủ điều kiện kinh doanh xuất khẩu gạo
0141	Chăn nuôi trâu, bò	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0142	Chăn nuôi ngựa, lừa, la	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0143	Chăn nuôi lợn	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0144	Chăn nuôi gia cầm	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0149	Chăn nuôi khác	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0150	Trồng trọt, chăn nuôi hỗn hợp	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0161	Hoạt động dịch vụ trồng trọt	Sản xuất phân bón	Giấy chứng nhận đủ điều kiện sản xuất phân bón
0162	Hoạt động dịch vụ chăn nuôi	Kinh doanh giết mổ gia súc, gia cầm	Giấy chứng nhận vệ sinh an toàn thực phẩm
0170	Săn bắt, đánh bẫy và hoạt động dịch vụ liên quan	Kinh doanh thủy sản	
0321	Nuôi trồng hải sản	Sản xuất, ương dưỡng giống thủy sản	Giấy chứng nhận cơ sở đủ điều kiện sản xuất, ương dưỡng giống thủy sản
0510	Khai thác than cứng	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0520	Khai thác than non	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0610	Khai thác dầu thô	Hoạt động dầu khí	Giấy chứng nhận đăng ký đầu tư (trên cơ sở Hợp đồng dầu khí)
0620	Khai thác khí đốt tự nhiên	Hoạt động dầu khí	Giấy chứng nhận đăng ký đầu tư (trên cơ sở Hợp đồng dầu khí)
0710	Khai thác quặng sắt	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0729	Khai thác quặng kim loại khác	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0811	Khai thác đá, cát, sỏi, đất sét	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0891	Khai thác khoáng chất hoá học và khoáng chất dùng để sản xuất phân bón	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0892	Khai thác than bùn	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0899	Khai thác khoáng sản khác chưa được phân vào đâu	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0910	Hoạt động dịch vụ hỗ trợ khai thác dầu thô và khí đốt tự nhiên	Hoạt động dầu khí	Giấy chứng nhận đăng ký đầu tư (trên cơ sở Hợp đồng dầu khí)
0990	Hoạt động dịch vụ hỗ trợ khai thác mỏ và khai thác đá khác	Kinh doanh dịch vụ thăm dò khoáng sản	Giấy phép thăm dò khoáng sản
1010	Chế biến, bảo quản thịt và các sản phẩm từ thịt	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1020	Chế biến, bảo quản thủy sản và các sản phẩm từ thủy sản	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
